nest ID;call ID;dummy;enemy type;pres order;stage;date;PC;chick age;Philornis;time;approach;spp pres;ind pres;tot ind pres;ind alarm;tot ind alarm;parents alarm;parents alarm 1;parents pres;alarm calls;latency arrival;latency alarm;latency exit;latency exit pair;total time in;visibility;cloud cov;wind;peak freq;parents call initial;closest nb;number nb;number nest spp;sgf nb;nest height;hilo pattern
wfcrt12;wfcrt12-4;Owl;predator;4;Building;06.03.2024;;;0;10:32:00;0.5;3;5;7;0;2;2;1;2;345;660;45;;;300;80;0;2;8010.3516;1;2.8;1;2;0;6;
wfcru01;wfcru01-1;Ani;predator;1;Building;18.03.2024;;;;08:12:00;1.5;0;0;2;0;0;0;0;2;0;1620;;60;160;160;100;100;0;;;10.2;1;2;0;5;
wfcru01;wfcru01-2;Control;control;2;Building;18.03.2024;;;;09:32:00;2;0;0;2;0;0;0;0;2;0;480;;180;180;180;100;100;0;;;10.2;1;2;0;5;
wfcru01;wfcru01-3;Owl;predator;3;Building;18.03.2024;;;;10:51:00;3;1;1;3;0;1;1;1;2;36;300;2;100;100;100;100;100;1;6761.4258;1;10.2;1;2;0;5;
wfcru01;wfcru01-4;SGF;usurper;4;Building;19.03.2024;;;;06:37:00;2;0;0;2;0;0;0;0;2;0;600;;210;210;210;100;100;0;;;10.2;1;2;0;5;
wfcrx03;wfcrx03-1;SGF;usurper;1;Building;24.02.2024;;;1;09:43:00;3;1;2;4;0;0;0;0;2;0;240;;80;80;80;60;0;0;;;18.9;3;2;0;2.5;
wfcrx09;wfcrx09-1;Control;control;1;Feeding;12.03.2024;;8;0;07:46:00;3.5;2;2;4;0;2;2;1;2;145;0;0;;;300;100;100;0;6692.5197;2;;0;1;0;6;
wfcrx09;wfcrx09-2;Owl;predator;2;Feeding;12.03.2024;;8;0;08:50:00;3;1;2;4;0;2;2;1;2;376;60;0;;;300;100;100;0;6821.7188;2;;0;1;0;6;1
wfcrx09;wfcrx09-3;Ani;predator;3;Feeding;12.03.2024;;8;0;10:00:00;4;3;3;5;0;2;2;1;2;350;60;5;;;300;100;100;0;6080.9765;1;;0;1;0;6;0
wfcrx09;wfcrx09-4;SGF;usurper;4;Feeding;12.03.2024;;8;0;10:55:00;5;0;0;2;0;2;2;1;2;247;60;11;;;300;100;100;0;6201.5624;2;;0;1;0;6;1
wfcrx12;wfcrx12-1;Ani;predator;1;Feeding;12.03.2024;;6;40;07:01:00;3;0;0;2;0;2;2;1;2;138;60;76;;;300;100;80;0;7467.7149;1;;0;1;0;3.5;0
wfcrx12;wfcrx12-2;Owl;predator;2;Feeding;12.03.2024;;6;40;08:17:00;1.5;4;4;6;0;2;2;1;2;474;480;0;;;300;100;100;0;5917.324;1;;0;1;0;3.5;
wfcrx12;wfcrx12-3;Control;control;3;Feeding;12.03.2024;;6;40;09:37:00;2.5;0;0;2;0;0;0;0;2;0;0;;219;219;219;100;100;0;;;;0;1;0;3.5;
wfcrx12;wfcrx12-4;SGF;usurper;4;Feeding;12.03.2024;;6;40;10:22:00;1;0;0;2;0;2;2;1;2;0;60;;;;300;100;100;0;;;;0;1;0;3.5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
